CNTYVTD,WestD_18G_State Sen 23
"1131014",947
"1131015",1123
"1131016",131
"1131017",503
"1131018",117
"1131019",1326
"1131023",880
"1131064",59
"1131065A",985
"1131065B",0
"1131065C",0
"1131069",32
"1131070",763
"1131073",1194
"1131074",582
"1131077",0
"1131078",440
"1131080",268
"1131082",96
"1131083",670
"1131084",1620
"1131085",487
"1131086",151
"1131087A",1420
"1131087B",0
"1131087C",0
"1131087D",0
"1131088",696
"1131089",824
"1131090",901
"1131091",770
"1131092",1199
"1131093",632
"1131094",523
"1131095",538
"1131096",524
"1131097",905
"1131098",782
"1131100",1109
"1131101",573
"1131102",645
"1131103",172
"1131104",921
"1131112",240
"1131113",104
"1131114",244
"1131118",621
"1131119",743
"1131120",714
"1131122",160
"1131124",2
"1131130",574
"1131131",552
"1131132",14
"1131134",178
"1131135",562
"1131138",0
"1131140",0
"1131303",36
"1131307",68
"1133001",180
"1133002",595
"1133003",911
"1133004",1066
"1133005",187
"1133006",1286
"1133007",431
"1133008A",2842
"1133008B",0
"1133009",1180
"1133010",125
"1133011",733
"1133012",55
"1133016A",732
"1133016B",0
"1133017",282
"1133018",689
"1133019",256
"1133020",118
"1133021",321
"1133022",540
"1133023",505
"1133024",532
"1133025",52
"1133026",281
"1133027",509
"1133028",418
"1133029",306
"1133032",475
"1133033",135
"1133034",546
"1133035",511
"1133036",3
"1133037",168
"1133038",393
"1133039",945
"1133040",424
"1133041",42
"1133042",544
"1133043",718
"1133044",882
"1133045",244
"1133046",1083
"1133047",566
"1133048",1102
"1133049",821
"1133050",686
"1133051",323
"1133052",913
"1133053",920
"1133054",1434
"1133055",1358
"1133056",1323
"1133057",1182
"1133058",1064
"1133059",675
"1133060",726
"1133061",551
"1133062",930
"1133063",1594
"1133064",1271
"1133065",1022
"1133066",814
"1133067",893
"1133068",1656
"1133069",718
"1133070",1325
"1133071",1098
"1133072",17
"1133073",67
"1133074",240
"1133075",76
"1133076",0
"1133077",1549
"1133078",1130
"1133081",606
"1133082",937
"1133084",622
"1133088",24
"1133089",10
"1133090",723
"1133091",0
"1133092",659
"1133094",0
"1133095",0
"1133096",0
"1133097",78
"1133098",106
"1133099",124
"1133100",1065
"1133101",370
"1133102",1276
"1133103",1566
"1133104",2357
"1133105",1117
"1133106",1690
"1133107",1316
"1133108",812
"1133109",1355
"1133110",1520
"1133111",21
"1133112",12
"1133113",4
"1133200",845
"1133201",632
"1133202",1017
"1133203",905
"1133204",952
"1133205",888
"1133206",917
"1133207",967
"1133208",690
"1133209",69
"1133210",727
"1133211",469
"1133600",1080
"1133601",1156
"1133602",364
"1133603",159
"1133604",1405
"1133605",1509
"1133606",1343
"1133607",2414
"1133608",1753
"1133609",1634
"1133610",236
"1133611",513
"1133612",1714
"1133613",286
"1133614",441
"1133615",1322
"1133616",329
"1133617",1338
"1133618",213
"1133619",76
"1133620",620
"1133621",0
"1133800",2314
"1133801",151
"1133802",1963
"1133803",1806
"1133805",2540
"1133806",504
"1133807",1176
"1133808",1594
"1133809",155
"1133900",2679
"1133940A",681
"1133940B",0
"1133950",716
"1134015",793
"1134016",858
"1134017",217
"1134019",1145
"1134020",437
"1134021",2163
"1134022",1320
"1134023",0
"1134024",753
"1134025",128
"1134026",61
"1134027",108
"1134028",369
"1134029",3
"1134030",24
"1134031",794
"1134032",1532
"1134033",958
"1134035",534
"1134036",333
"1134037",82
"1134038",933
"1134039",230
"1134040",300
"1134041",306
"1134043",569
"1134044",433
"1134046",468
"1134047",343
"1134048",8
"1134049",0
"1134050",1915
"1134051",0
"1134052",1866
"1134053",180
"1134054",180
"1134055",975
"1134056",1056
"1134057",664
"1134058",409
"1134060",840
"1134061",876
"1134062",693
"1134063",1294
"1134065",373
"1134066",353
"1134067",781
"1134068",756
"1134069",1228
"1134070",623
"1134071",157
"1134072",105
"1134073",741
"1134074",1363
"1134075",393
"1134076",1022
"1134077",522
"1134078",736
"1134079",2154
"1134080",353
"1134081",1156
"1134082",382
"1134083",531
"1134084",236
"1134085",369
"1134086",1002
"1134090",21
"1134091A",0
"1134091B",0
"1134091C",0
"1134093",28
"1134100",12
"1134101",34
"1134102",104
"1134103",73
"1134104",10
"1134105",7
"1134106",63
"1134107",26
"1134108",22
"1134109",17
"1134110",390
"1134111",106
"1134112",31
"1134113",773
"1134114",637
"1134115",169
"1134116",0
"1134117",12
"1134118",5
"1134122",0
"1134123",0
"1134124",0
"1134300",540
"1134500",915
"1134522",1180
"1134523",226
"1134528",0
"1134537",3
"1134539",0
"1134541",0
"1134542",0
"1134603",17
