CNTYVTD,CampbellR_18G_State Sen 25,KlingD_18G_State Sen 25
"0292063A",334,187
"0292063B",375,209
"0292063C",12,7
"0292095A",665,385
"0292095B",240,137
"0292115",1179,1119
"0292120",261,315
"0292129",1,2
"0292150",0,3
"0292154A",167,99
"0292154B",109,64
"0292158",0,0
"0292160",7,6
"0293001",1057,801
"0293004",0,1
"0293005",996,422
"0293007",831,722
"0293009",8,2
"0293012",455,175
"0293014",165,159
"0293017A",1085,409
"0293017B",42,16
"0293018",691,561
"0293020",834,925
"0293021",1245,508
"0293022",545,518
"0293025",635,530
"0293026",602,460
"0293027",546,424
"0293028",596,522
"0293030",887,590
"0293031",6,9
"0293033",923,435
"0293034",1459,382
"0293039",1554,825
"0293040",644,625
"0293042",904,597
"0293043",1142,517
"0293044",484,442
"0293045",652,373
"0293046",498,478
"0293047",650,614
"0293048",499,563
"0293049",853,635
"0293050",404,295
"0293051",165,93
"0293052",1478,1165
"0293053",625,521
"0293055",1393,418
"0293057",198,172
"0293059",540,427
"0293060",551,597
"0293061",458,570
"0293062",14,12
"0293063",592,617
"0293064",122,152
"0293066",596,614
"0293067",555,479
"0293068",374,835
"0293069",1022,1019
"0293070",931,791
"0293072",1338,908
"0293073",459,526
"0293074",908,784
"0293075",1412,728
"0293076",629,350
"0293077",892,734
"0293078",997,777
"0293079",1156,885
"0293080",397,302
"0293081",698,664
"0293082",683,679
"0293083",555,414
"0293084",981,820
"0293085",380,380
"0293086",645,530
"0293087",552,366
"0293088",1145,801
"0293089",1996,806
"0293090",1010,818
"0293091",465,175
"0293092",1286,578
"0293093",1683,1085
"0293094",1259,791
"0293096A",1262,826
"0293096B",0,0
"0293097",4,0
"0293100",832,854
"0293102",1155,796
"0293103",153,203
"0293104",970,703
"0293105",935,815
"0293108",625,369
"0293110",851,854
"0293114",1041,494
"0293115",758,552
"0293117",1125,853
"0293118",287,289
"0293119",1039,1084
"0293120",879,928
"0293121",1351,1103
"0293122",743,607
"0293123",208,113
"0293124",1037,765
"0293125A",1265,744
"0293125B",2,1
"0293126",648,400
"0293128",20,21
"0293130",794,417
"0293131",0,3
"0293132",232,416
"0293133",0,0
"0293137",1362,1083
"0293138",30,7
"0293144",64,77
"0293145",1029,774
"0293148",454,291
"0293150",9,7
"0293151",1564,1288
"0293153",480,435
"0293154",691,407
"0293155",844,575
"0293156",10,7
"0293157",933,771
"0293159",422,591
"0293161",555,766
"0293163",902,651
"0293164",771,417
"0293165",1255,917
"0293170",0,0
"0293171",0,1
"0293173",1144,872
"0293174",1694,955
"0293176",20,18
"0293178",0,0
"0293179",2,0
"0293180",300,355
"0293181",800,495
"0293183",9,1
"0293184",60,44
"0293193",73,50
"0293194",1387,693
"0293196",6,3
"0293199",1098,696
"0293201",1565,805
"0293202",344,233
"0293203",194,107
"0294022",28,29
"0294035",5,15
"0294038",693,1049
"0294046",760,692
"0294055",441,313
"0294056",775,724
"0294057",711,400
"0294079",424,320
"0294091",188,341
"0294093",551,632
"0294094",466,468
"0294095",426,445
"0294096",387,627
"0294097",399,434
"0294098",376,428
"0294099",224,330
"0294100",202,267
"0294102",97,205
"0294104",409,454
"0294105",583,442
"0294108",756,817
"0294116",18,12
"0294117",150,168
"0294120",30,54
"0294125",8,25
"0294139",0,0
"0294144",202,97
"0294147",61,90
"0294148",40,49
"0294158",82,163
"0294164",783,496
"0294169",114,82
"0294170",67,101
"0294171",356,329
"0294172",290,280
"0294173",415,445
"0294174",259,354
"0294176",303,247
"0294179",786,750
"0294199",192,310
"0294210",3,3
"0910101",1657,810
"0910102",1998,444
"0910103",1908,497
"0910104",1069,307
"0910105A",2650,748
"0910105B",46,13
"0910105C",1,0
"0910105D",0,0
"0910106A",2253,489
"0910106B",136,28
"0910107",1100,337
"0910201",1797,827
"0910202A",434,176
"0910202B",46,18
"0910203A",1854,568
"0910203B",53,16
"0910203C",0,0
"0910204",1781,502
"0910205",2725,955
"0910206",2665,707
"0910207",1392,364
"0910208",1045,267
"0910301",900,891
"0910302",1716,1023
"0910303",218,265
"0910304",1253,792
"0910305",869,404
"0910306",521,301
"0910401",947,416
"0910402",2154,746
"0910403",2673,712
"0910404",1773,504
"0910405",1861,482
"0910406",2247,892
"0910407",1527,444
"1870101",267,96
"1870112",72,135
"1870113",399,180
"1870114",289,155
"1870116",998,314
"1870117",1798,699
"1870118",23,20
"1870121",64,28
"1870122",20,7
"1870124",0,1
"1870125",91,18
"1870208",1444,421
"1870213",853,354
"1870215",371,149
"1870217",30,35
"1870301",1042,660
"1870302",1280,994
"1870303",536,263
"1870304",1452,850
"1870305",1386,972
"1870306",1501,881
"1870307",1476,1019
"1870308",821,432
"1870401",666,190
"1870402",555,343
"1870403",793,497
"1870404",969,653
"1870405",895,197
"1870408",1600,694
"1870409",1272,1319
"1870410",59,22
"1870411",1196,750
"2090125",0,0
"2090129",942,1699
"2090221",1256,1461
"2090223",524,750
"2090224",2295,2160
"2090225",628,394
"2090226",996,866
"2090228",1685,2919
"2090230",475,400
"2090232",814,491
"2090236",531,303
"2090238",14,16
"2090315",1262,927
"2090318",20,46
"2090330",265,728
"2090332",647,1554
"2090333",1627,1213
"2090334",361,1498
"2090335",1330,939
"2090336",945,1635
"2090337",2065,1402
"2090339",526,266
"2090413",93,525
"2090415",240,989
"2090418",2,0
"2090419",538,547
"2090420",302,245
"2090421A",13,11
"2090421B",6,4
"2090440",876,543
"2090441A",1242,775
"2090441B",2,1
"2090442",934,994
"2090443",2154,1658
"2090444",2472,1744
"2090447",641,689
"2090449",1579,964
"2591010",1175,438
"2591110",2237,546
"2592020",1322,235
"2592080",1897,455
"2592120A",2126,563
"2592120B",26,7
"2593030",1426,254
"2593040",1788,511
"2593060",359,67
"2594050",1254,392
"2594070",189,42
"2594100",1735,467
"4530302",1059,1533
"4530303",974,1293
"4530304",1157,1909
"4530310",1247,2526
"4530315",1124,1878
"4530349",1205,2455
"4530362",633,1518
"4530363",435,738
"4530366",1209,2342
"4530367",1793,2866
"4530406",898,1310
"4530408",603,1742
"4530411",299,1108
"4530414",669,1933
"4530416",77,246
"4530417",276,1104
