CNTYVTD,NicholsR_18G_State Sen 3,LaytonD_18G_State Sen 3,QuarlesL_18G_State Sen 3
"0010001",663,230,16
"0010002",1056,151,16
"0010003",568,90,8
"0010004",744,97,6
"0010005",178,10,3
"0010006",270,366,10
"0010007",84,443,6
"0010008",50,96,2
"0010009",564,127,12
"0010010",230,23,3
"0010011",484,136,15
"0010013",619,236,17
"0010015",486,51,5
"0010016",348,86,11
"0010017",341,94,4
"0010018",920,178,15
"0010019",794,215,18
"0010020",413,128,13
"0010021",858,120,9
"0010022",538,84,6
"0010023",697,77,6
"0010024",446,34,8
"0050001",128,87,1
"0050002",253,734,11
"0050003",749,166,8
"0050004",354,263,4
"0050005",514,382,11
"0050006",196,37,5
"0050007",637,75,8
"0050008A",397,47,6
"0050008B",259,30,5
"0050009",152,39,2
"0050010A",228,197,3
"0050010B",28,24,0
"0050011",1094,99,7
"0050012",382,83,5
"0050013",188,135,9
"0050014",763,295,13
"0050015",297,56,2
"0050016",437,450,17
"0050017",822,108,10
"0050018",230,103,2
"0050019",664,259,12
"0050020",141,893,13
"0050021",517,145,5
"0050022",524,83,5
"0050023",300,49,2
"0050024",974,248,18
"0050025",977,190,13
"0050026",874,111,6
"0050027",198,21,3
"0050028",537,119,10
"0050029",689,125,4
"0050030",502,45,8
"0050031",148,52,0
"0050032",53,6,0
"0050033",667,58,5
"0050034",955,285,18
"0050035",823,226,8
"0050036",0,0,0
"0050037",219,47,3
"0050038",172,35,1
"0050039",189,83,0
"0050040",276,158,7
"005011B",458,97,5
"005017B",174,16,1
"0730012",596,119,10
"0730013",569,52,8
"0730014",758,49,10
"0730015",1196,387,16
"0730022",230,77,8
"0730023",531,57,14
"0730024",669,214,8
"0730025",417,84,6
"0730026",392,154,4
"0730027",501,142,7
"0730028",303,26,4
"0730032",404,48,8
"0730033",705,184,12
"0730034",707,80,9
"0730035",468,120,8
"0730036",848,124,16
"0730037",133,75,2
"0730038",122,113,3
"0730042",121,353,5
"0730043",319,180,5
"0730044",689,82,16
"0730045",279,106,7
"0730046",361,66,3
"0730047",168,12,6
"0730048",318,33,2
"1990001",552,235,13
"1990002",2061,291,31
"1990003",287,18,1
"1990004",393,32,4
"1990005",260,24,2
"1990006",2081,266,28
"1990007",400,28,1
"1990008",389,42,2
"1990009",1027,252,11
"1990010",1026,451,8
"1990011",415,59,4
"1990012",448,66,5
"1990013",1159,94,14
"1990014",703,60,5
"1990015",883,118,16
"1990016",1036,115,13
"1990017",595,40,6
"1990018",2890,357,42
"1990019",508,69,6
"2130002",284,64,4
"2130003",174,359,7
"2130004",1410,373,26
"213001A",684,147,14
"213001M",733,258,10
"213001T",688,175,13
"213002E",927,159,24
"213003B",1259,187,21
"213003C",1992,366,26
"213003M",623,125,5
"213003N",837,144,10
"213004A",228,123,7
"213004W",489,94,7
"21301CR",1194,177,14
"21301MN",540,151,11
"21301TC",1099,260,23
"21303WS",629,118,13
"21304BV",392,79,3
"21304CC",689,199,9
"21304MS",110,141,7
"21304PF",234,49,3
"21304SE",1520,298,20
"2132GBN",1235,319,20
"2132GBS",786,173,18
"2132PSN",1215,287,19
"2132PSS",642,113,8
"2134NYL",497,57,4
"2250001",381,204,6
"2250002",564,223,3
"2250003",238,415,5
"2250004",709,233,7
"2250005",542,92,3
"2250006",436,145,4
"2250007",485,58,5
"2250008",198,38,1
"2250009",245,18,1
"2250010",150,30,2
"2250011",69,15,2
"2250012",73,12,2
"2250014",233,31,0
"2250015",128,31,0
"2250016",158,9,0
"2250017",174,9,0
"2250018",60,33,1
"2250019",273,75,1
"2250020",132,8,2
"2250021",155,41,2
"2250022",126,35,1
"2410001",25,8,0
"2410002",378,33,3
"2410003",480,85,4
"2410004",365,53,1
"2410005",79,14,1
"2410006",397,186,1
"2410007",202,141,3
"2410008",253,196,2
"2410009",895,111,6
"2410010",803,81,12
"2410011",243,29,1
"2410012",256,46,4
"2410013",224,58,0
"2410014",974,223,9
"2410015",1213,133,16
"2410016",124,8,3
"2410017",682,56,10
"2410019",997,221,9
"2410020",280,291,5
"2410021",517,270,14
"2910001",274,44,2
"2910002",450,58,8
"2910003",1037,103,9
"2910004",238,56,0
"2910005",894,189,18
"2910006",428,43,4
"2910007",535,260,7
"2910008",911,109,19
"2910009",1089,137,8
"2910010",1137,316,18
"2910011",206,186,6
"2910012",466,159,12
"2910013",238,23,2
"2910014",205,40,2
"2910015",171,51,3
"2910016",186,24,2
"2910017",239,29,1
"2910018",131,394,7
"2910019",600,239,17
"2910020",22,345,1
"2910021",1471,190,22
"2910022",1184,374,24
"2910023",595,224,14
"2910024",313,51,6
"2910025",424,44,9
"2910026",807,192,20
"2910027",143,18,1
"2910028",312,28,1
"2910029",521,75,6
"2910030",569,231,8
"3390001",525,321,10
"3390005",172,23,0
"3390008",1413,197,18
"3390017",1468,281,28
"3390019",1633,313,25
"3390022",2161,458,48
"3390023",1199,465,17
"3390038A",2600,417,52
"3390038B",6,1,0
"3390038C",45,7,1
"3390038D",22,4,0
"3390038E",1,0,0
"3390038F",22,4,0
"3390050",2016,329,30
"3390057",1284,256,19
"3390063",2806,520,48
"3390072",2537,339,18
"3390077",2345,402,35
"3390083",606,108,11
"3390085",1453,304,27
"3470012",940,170,16
"3470013",690,110,11
"3470014",1301,317,18
"3470015",734,131,12
"3470016",1329,326,23
"3470017",109,91,3
"3470021",824,222,9
"3470022",26,27,2
"3470023",89,90,11
"3470024",164,459,13
"3470025",30,25,1
"3470026",761,815,23
"3470027",39,559,3
"3470030",56,133,6
