CNTYVTD,FallonR_18G_State Sen 30,LopezD_18G_State Sen 30
"0090001",611,63
"0090002",524,60
"0090003",185,31
"0090004",374,18
"0090005",82,8
"0090006",521,86
"0090007",122,9
"0090008",183,30
"0090009",95,9
"0090010",422,78
"0090011",63,10
"0770001",381,92
"0770006",194,47
"0770008",377,72
"0770009",232,48
"0770010",144,26
"0770011",444,40
"0770012",164,30
"0770013",74,17
"0770014",92,14
"0770015",164,44
"0770017",502,92
"0770020",246,18
"0770024",168,14
"0770026",102,11
"0770027",220,27
"0770032",133,11
"0850004",659,236
"0850008",1004,353
"0850009",1673,1156
"0850010",340,77
"0850011",1515,409
"0850013",1779,497
"0850016",1109,483
"0850017",947,592
"0850018",362,92
"0850020",425,122
"0850022",1716,398
"0850027",782,618
"0850029",678,279
"0850033",1585,571
"0850035",678,146
"0850037",925,151
"0850042",651,214
"0850056",1982,1218
"0850083",1861,892
"0850093",129,19
"0850100",7,3
"0850114",646,193
"0850133",665,589
"0850150",384,239
"0850154",486,75
"0850160",197,21
"0850161",101,38
"0850162",145,22
"0850170",646,369
"0850172",1116,591
"0850174",1232,943
"0850178",955,295
"0850180",188,105
"0850181",552,296
"0850182",2,2
"0850183",49,7
"0850184",0,0
"0850185",19,14
"0850186",52,7
"0850187",246,29
"0850188",34,5
"0850189",355,56
"0850190",37,7
"0850191",161,38
"0850192",744,200
"0850193",386,91
"0850194",13,3
"0850195",433,89
"0850198",59,17
"0850199",658,204
"0850200",2,1
"0850201",2,1
"0850202",5,3
"0850207",1283,846
"0850208",581,243
"0850214",1712,412
"0850215",683,289
"0850216",1914,782
"0850217",682,369
"0850224",2533,850
"0970001",500,206
"0970002",77,24
"0970003",218,40
"0970004",213,51
"0970005",464,156
"0970006",275,27
"0970007",720,122
"0970008",428,57
"0970009",724,94
"0970010",1048,173
"0970011",1113,237
"0970012",412,63
"0970014",170,32
"0970015",129,13
"0970017",294,14
"0970018",1085,97
"0970019",235,29
"0970020",257,43
"0970021",764,55
"0970022",1191,172
"0970026",177,59
"0970027",92,36
"0970028",39,14
"0970030",71,42
"0970031",45,24
"0970033",263,35
"0970034",97,111
"0970035",225,137
"0970037",653,171
"1211000",1434,280
"1211001",686,180
"1211002",1868,613
"1211003",1564,363
"1211004A",1175,920
"1211004B",0,0
"1211005",1157,289
"1211008",650,177
"1211009",688,762
"1211010",887,677
"1211011",653,970
"1211012",887,973
"1211041",753,792
"1211042",79,11
"1211043",93,43
"1211044",1182,1002
"1214000",1900,587
"1214001",675,202
"1214004",198,922
"1214005",752,824
"1214006",532,964
"1214007",443,1223
"1214008",238,774
"1214009",502,1458
"1214010",451,659
"1214011",728,1895
"1214012",801,665
"1214013",47,178
"1214037",352,785
"1214038",114,58
"1214039",153,1020
"1214040",355,439
"1214041",552,601
"1214042",15,6
"1214045",353,2107
"1430010",354,147
"1430011",144,70
"1430012",607,140
"1430018",926,147
"1430019",634,110
"1430020",538,106
"1430021",570,127
"1430023",209,52
"1430024",406,86
"1430025",385,53
"1430030",354,41
"1430031",625,91
"1430032",692,151
"1430033",262,161
"1430034",615,81
"1430035",29,38
"1430041",391,51
"1430044",1065,137
"1430045",588,264
"1430046",260,99
"1430047",466,135
"1810101",916,783
"1810102",357,742
"1810103",263,48
"1810104",488,95
"1810105",2510,595
"1810106",1171,263
"1810107",949,150
"1810108A",716,128
"1810108B",81,15
"1810201",1129,511
"1810202",1151,453
"1810203",231,209
"1810204",471,127
"1810205A",1769,396
"1810205B",0,0
"1810206",612,189
"1810207",490,90
"1810208",599,201
"1810209",559,116
"1810210",959,159
"1810301",557,303
"1810302",1888,928
"1810303",462,81
"1810304",1089,515
"1810305",674,148
"1810306",1847,303
"1810307",952,149
"1810308",560,75
"1810309",347,76
"1810401",347,369
"1810402",913,372
"1810403",1386,311
"1810404",1654,378
"1810405",158,91
"1810406",1336,220
"1810407",36,36
"1810408A",596,183
"1810408B",42,13
"1810409",1861,661
"2370001",495,67
"2370002",519,61
"2370003",92,9
"2370004",425,51
"2370005",377,28
"2370006",562,81
"3370002",1171,171
"3370003",666,72
"3370004",241,28
"3370005",441,51
"3370006",458,61
"3370007",547,80
"3370008",384,55
"3370009",567,93
"3370010",439,84
"3370011",434,79
"3370012",60,9
"3370013",517,65
"3370014",101,17
"3370015",239,26
"3370016",137,18
"3630001",302,65
"3630002",10,1
"3630003",472,75
"3630004",205,24
"3630005",191,56
"3630006",451,118
