CNTYVTD,SeligerR_18G_State Sen 31,WestbrookL_18G_State Sen 31
"0030001",725,71
"0030002",1302,109
"0030003",819,91
"0030004",570,58
"0110101",217,17
"0110201",117,17
"0110202",42,6
"0110301",170,10
"0110303",28,6
"0110401",121,8
"0110402",102,6
"0110404",19,0
"0170001",384,52
"0170002",542,44
"0170003",216,31
"0170004A",105,38
"0170004B",6,2
"0450001",75,2
"0450002",141,7
"0450003",136,7
"0450004",175,14
"0450006",31,2
"0650101",271,25
"0650102",48,1
"0650103",199,30
"0650201",559,50
"0650301",357,34
"0650302",173,11
"0650401",400,36
"0650402",170,3
"0690101",121,23
"0690105",26,1
"0690201",144,26
"0690206",67,6
"0690301",406,26
"0690307",76,1
"0690401",100,9
"0690408",336,10
"0790101",144,15
"0790202",202,24
"0790303",36,0
"0790306",112,25
"0790404",69,9
"0870101",268,25
"0870201",131,8
"0870202",26,2
"0870301",167,8
"0870302",29,0
"0870401",146,12
"0870402",55,2
"1110001",153,11
"1110002",20,0
"1110003",7,0
"1110004",17,0
"1110005",7,0
"1110006",118,8
"1110007",150,18
"1110008",303,28
"1110009",194,23
"1170001",459,67
"1170002",465,98
"1170003",1445,148
"1170004",528,107
"1290101",127,7
"1290102",171,12
"1290201",363,31
"1290301",110,4
"1290303",149,11
"1290401",225,30
"1350101",1240,241
"1350102",736,170
"1350103",437,86
"1350104",98,11
"1350106",522,73
"1350107",335,36
"1350108",1022,139
"1350109",103,8
"1350110",1413,265
"1350111",170,36
"1350201",2884,391
"1350202",1338,149
"1350203",1224,187
"1350204",632,106
"1350205",856,123
"1350206",335,36
"1350207",918,60
"1350208",1608,239
"1350209",443,74
"1350301",707,191
"1350302",333,85
"1350303",465,122
"1350304",110,38
"1350305",92,41
"1350306",232,72
"1350307",496,155
"1350308",336,67
"1350309",443,94
"1350311",320,74
"1350312",526,112
"1350401",226,51
"1350402",224,133
"1350403",270,195
"1350404",328,87
"1350405",89,69
"1350406",462,172
"1350407",269,48
"1350408",92,52
"1350409",250,80
"1350412",122,48
"1650002",770,53
"1650003",1149,74
"1650004",459,53
"1650005",126,7
"1650006",86,10
"1650007",107,31
"1650008",393,33
"1650009",278,18
"1730001",160,5
"1730002",106,7
"1730003",111,3
"1730004",136,8
"1790001",193,11
"1790002",1083,112
"1790003",83,1
"1790004",376,37
"1790005",1413,158
"1790006",1442,148
"1790007",731,129
"1910101",141,13
