CNTYVTD,SchwertnerR_18G_State Sen 5,WalshD_18G_State Sen 5,LyonsL_18G_State Sen 5
"0410001",968,218,24
"0410002",2340,794,105
"0410003",310,178,13
"0410004",61,516,7
"0410005",810,197,32
"0410006",479,86,11
"0410007",844,161,24
"0410008",339,445,47
"0410009",382,357,24
"0410010",1212,741,86
"0410011",607,713,72
"0410012",1453,933,111
"0410013",799,482,52
"0410014",241,655,29
"0410015",1194,575,54
"0410016",104,314,11
"0410017",607,772,62
"0410018",28,185,6
"0410019",48,62,7
"0410020",786,1126,91
"0410021",281,480,33
"0410022",60,95,1
"0410023",49,9,1
"0410024",637,602,42
"0410025",43,335,9
"0410026",1226,520,49
"0410027",1607,336,64
"0410028",207,23,6
"0410029",322,183,15
"0410030",440,545,26
"0410031",1167,1062,104
"0410032",0,0,0
"0410033",221,421,27
"0410034",852,1141,101
"0410035",1322,2015,125
"0410036",927,831,87
"0410037",92,13,2
"0410038",5,99,0
"0410039",1439,1082,95
"0410040",1899,1048,111
"0410041",2155,847,75
"0410042",0,0,0
"0410043",3,11,0
"0410044",54,8,3
"0410045",45,17,1
"0410046",95,66,7
"0410047",100,84,5
"0410048",100,27,3
"0410049",43,127,7
"0410052",9,2,1
"0410053",0,1,0
"0410056",6,2,0
"0410057",23,68,5
"0410058",221,135,15
"0410059",12,3,0
"0410060",61,8,1
"0410061",32,8,0
"0410062",1,0,0
"0410063",2087,824,84
"0410064",0,0,0
"0410065",70,17,0
"0410067",85,38,8
"0410068",0,0,0
"0410069A",1727,861,65
"0410069B",6,3,0
"0410070",219,207,22
"0410071",59,14,4
"0410072",8,6,0
"0410074",69,137,6
"0410077",106,76,9
"0410078",106,20,1
"0410079",22,20,1
"0410080A",1350,590,83
"0410080B",4,2,0
"0410081",25,10,3
"0410082",153,49,5
"0410083",0,0,0
"1610001",1339,243,17
"1610002",548,219,11
"1610003",80,6,1
"1610004",218,32,3
"1610005",832,287,15
"1610006",276,38,5
"1610007",291,83,7
"1610008",279,58,5
"1610009",237,58,5
"1610010",202,10,4
"1610011",197,160,7
"1610012",62,23,0
"1610013",166,22,6
"1610014",205,47,4
"1610015",137,19,2
"1850001",962,173,9
"1850002",405,53,8
"1850003",148,430,15
"1850004",614,126,7
"1850005",602,186,13
"1850006",599,343,26
"1850007",471,103,8
"1850008",228,56,3
"1850009",184,41,2
"1850010",739,114,19
"1850011",137,18,4
"1850012",372,126,12
"1850014",689,179,28
"1850015",239,49,5
"2890001",708,121,11
"2890002",198,23,4
"2890003",309,43,8
"2890004",439,74,1
"2890005",290,43,9
"2890006",695,71,6
"2890007",320,28,4
"2890008",472,83,12
"2890009",167,20,1
"2890010",515,46,6
"2890011",396,75,7
"2890012",338,112,6
"2890013",414,32,4
"2890014",105,21,3
"289001A",111,9,7
"289005A",31,1,0
"289014A",101,19,2
"2930101",613,245,10
"2930102",325,31,10
"2930103",334,78,7
"2930104",371,64,4
"2930201",187,96,3
"2930202",58,161,0
"2930203",32,68,2
"2930204",228,56,6
"2930205",155,79,2
"2930206",190,36,1
"2930301",524,186,12
"2930302",215,74,2
"2930303",80,11,1
"2930304",304,57,7
"2930305",144,33,1
"2930401",397,302,6
"2930402",218,25,2
"2930403",157,33,5
"2930404",224,28,1
"2930405",177,22,4
"2930406",104,18,3
"3130101",674,181,13
"3130202",777,212,11
"3130303",519,274,8
"3130404",997,111,27
"3310101",985,282,35
"3310105",484,110,15
"3310203",189,41,5
"3310207",167,103,0
"3310210",257,67,4
"3310212",581,287,15
"3310316",301,82,8
"3310317",524,108,9
"3310318",808,414,18
"3310419",569,304,18
"3310420",816,281,33
"3950001",360,340,9
"3950002",440,284,16
"3950003",309,45,7
"3950004",267,38,5
"3950005",604,216,21
"3950006",668,172,15
"3950007",20,25,0
"3950008",164,18,1
"3950011",467,150,10
"3950013",116,14,2
"3950016",78,12,2
"3950018",47,6,0
"3950019",308,35,8
"3950022",90,449,4
"3950023",141,161,7
"4710101",83,158,4
"4710102",1024,878,56
"4710103",683,255,18
"4710104",941,187,18
"4710201",581,524,41
"4710203",309,59,5
"4710204",983,428,27
"4710205",1415,394,39
"4710206",295,242,11
"4710301",411,742,37
"4710302",207,79,2
"4710303",250,88,4
"4710304",1499,394,47
"4710401",459,787,44
"4710403",628,197,30
"4710404",1578,377,29
"4910119",1010,1085,101
"4910122",868,932,72
"4910135",509,1171,77
"4910138",1229,1271,91
"4910140",597,673,48
"4910145",473,1006,60
"4910146",826,2128,124
"4910147",578,1448,63
"4910149",466,803,36
"4910150",449,842,55
"4910151",489,1069,85
"4910152",401,996,75
"4910160",1101,1505,119
"4910162",493,1115,69
"4910172",729,737,50
"4910182",1520,1170,95
"4910185",341,705,41
"4910186",616,1091,55
"4910189",672,1188,59
"4910190",1603,1579,125
"4910197",738,1012,57
"4910198",1115,1457,103
"4910201",1547,2042,93
"4910202",642,460,32
"4910204",1398,1603,107
"4910206",1453,452,80
"4910207",2157,719,107
"4910216",725,808,73
"4910218",713,1163,84
"4910253",1457,1096,95
"4910254",1049,1012,81
"4910259",1333,1174,93
"4910263",1336,1194,106
"4910264",1492,1170,109
"4910266",1113,1393,93
"4910267",1636,1006,115
"4910273",767,1003,94
"4910274",954,2198,127
"4910275",497,1110,65
"4910277A",1346,1273,104
"4910277B",39,37,3
"4910278",1639,1861,139
"4910283",1289,1457,113
"4910287",1442,1456,140
"4910305",1572,571,60
"4910309",653,227,25
"4910310",696,244,33
"4910311",798,325,52
"4910312",1624,748,73
"4910314",813,1035,78
"4910330",1158,1236,90
"4910331",1269,1030,99
"4910332",1441,1111,98
"4910333A",1147,1132,97
"4910333B",7,7,0
"4910337",1424,1459,87
"4910339",624,951,79
"4910341",814,441,37
"4910342",179,310,15
"4910343",1625,1073,116
"4910344",1861,815,102
"4910345",1240,486,65
"4910368",985,1132,63
"4910369",1492,1295,100
"4910370",1645,1066,99
"4910371",1066,528,39
"4910379",2211,925,91
"4910381",1789,941,26
"4910392",2424,1114,122
"4910393",1328,547,14
"4910394",2244,1089,41
"4910395",1604,590,74
"4910396",2182,1092,42
"4910402",1288,1670,140
"4910403",646,747,64
"4910413",228,119,3
"4910415",735,305,28
"4910420",1771,1912,135
"4910423",767,1143,81
"4910424",1503,1047,83
"4910425",225,124,5
"4910426",635,517,55
"4910427",825,619,43
"4910428",1007,670,42
"4910429",267,507,34
"4910434",1438,403,37
"4910436",351,122,17
"4910455",440,880,56
"4910456",347,459,18
"4910463",997,1901,122
"4910480",1098,1841,111
"4910484",1492,1799,141
"4910488",895,870,61
"4910489",1359,1557,89
"4910490",565,582,45
"4910491",1256,1730,110
