CNTYVTD,BettencortR_18G_State Sen 7,RomeroD_18G_State Sen 7,GlassL_18G_State Sen 7
"2010006",944,1114,43
"2010041",325,486,16
"2010050",1013,1290,42
"2010056",509,411,29
"2010074",1833,646,38
"2010082",1349,629,47
"2010110",1036,869,27
"2010111",2132,1146,88
"2010112",1074,674,50
"2010114",1788,724,53
"2010120",1234,1017,50
"2010124",3257,1100,122
"2010125",648,651,35
"2010126",1877,365,46
"2010127",660,259,16
"2010137",768,460,26
"2010143A",0,0,0
"2010143B",293,214,6
"2010143C",1125,823,26
"2010155",1598,1025,37
"2010173",1978,749,55
"2010209",0,0,0
"2010213",1831,608,27
"2010225",624,1096,33
"2010244",763,933,31
"2010245",1441,990,47
"2010246",1423,1012,41
"2010258",1571,700,44
"2010260",351,412,7
"2010263",1732,824,46
"2010265",1627,720,37
"2010273",1285,457,18
"2010300",2645,1020,98
"2010305",702,1827,34
"2010309",1874,714,40
"2010314",1778,1573,62
"2010370",1904,944,74
"2010385",1106,416,19
"2010398",891,1191,33
"2010399",484,932,22
"2010405",1058,413,33
"2010439",1481,888,46
"2010440",1510,564,30
"2010441",753,358,20
"2010442",2143,617,63
"2010451",1422,433,17
"2010463",619,1263,40
"2010464",745,587,27
"2010465",783,1139,27
"2010466",1162,1225,26
"2010477",1572,865,52
"2010478",1408,1033,74
"2010479",1638,622,54
"2010480",1140,598,33
"2010481",1412,587,46
"2010482",1542,934,49
"2010484",1309,888,63
"2010485",1412,678,45
"2010486",1950,696,60
"2010495",1041,583,36
"2010499",1114,564,24
"2010500",1286,903,34
"2010503",1165,427,34
"2010511",2241,1776,82
"2010512",772,1433,37
"2010513",1347,619,25
"2010514",1616,928,49
"2010515",1607,511,28
"2010517",791,1188,28
"2010518",1205,1020,42
"2010519",1043,553,48
"2010521",705,941,32
"2010523",1029,805,40
"2010529",1783,351,56
"2010539",398,448,13
"2010548",463,678,27
"2010550",502,792,22
"2010551",2287,860,48
"2010552",1975,588,42
"2010553",434,860,23
"2010575",1051,1058,44
"2010586",1100,961,38
"2010587",403,1031,15
"2010588",1385,868,33
"2010596",627,869,28
"2010601",1805,827,42
"2010602",545,286,26
"2010615",591,646,22
"2010616",1334,888,55
"2010617",581,1442,36
"2010621",247,403,16
"2010622",1280,1215,51
"2010623",1216,870,36
"2010631",1062,611,33
"2010633",1677,918,37
"2010634",850,765,17
"2010640",998,978,40
"2010641",1112,880,42
"2010642",877,299,21
"2010643",921,1209,40
"2010648",1368,707,41
"2010650",1627,918,39
"2010651",1004,1069,28
"2010667",941,406,27
"2010668",1159,924,78
"2010669",1454,770,31
"2010671",846,854,45
"2010672",1169,676,30
"2010676",464,876,24
"2010684",1104,871,37
"2010687",1103,650,23
"2010688",2015,626,52
"2010690",1635,617,50
"2010691",1800,608,54
"2010694",402,737,33
"2010709",1157,1280,57
"2010712",647,1423,32
"2010713",424,582,29
"2010726",1211,182,22
"2010734",1635,1041,87
"2010747",805,1323,33
"2010753",94,169,6
"2010759",826,726,34
"2010768",1181,418,45
"2010771",234,364,10
"2010788",2,1,0
"2010789",856,732,25
"2010790",415,962,20
"2010796",581,997,26
"2010800",1282,953,43
"2010803",1834,986,58
"2010805",1397,428,46
"2010806",775,551,33
"2010813",748,1265,29
"2010817",2004,982,81
"2010823",747,767,40
"2010828",943,323,41
"2010851",1366,820,51
"2010853",1340,529,31
"2010862A",1076,830,32
"2010862B",68,53,2
"2010862C",93,72,2
"2010862D",0,0,0
"2010874",1428,630,39
"2010875",969,1265,37
"2010876",1615,851,50
"2010877",741,1483,39
"2010878",626,227,11
"2010880",1182,515,25
"2010881",787,2566,44
"2010882",629,1693,33
"2010897",495,593,16
"2010898",327,665,20
"2010903",1199,454,19
"2010904",0,0,0
"2010912",464,317,11
"2010913",24,111,0
"2010915",0,0,0
"2010916",1350,495,42
"2010923",1724,680,60
"2010926",436,226,16
"2010939",0,1,0
"2010951",29,114,2
"2010980",628,297,10
"2010982",2030,836,67
"2010983",37,69,1
"2010991",0,0,0
"2010992",225,301,5
"2010997",69,501,10
"2010998",20,13,2
"2011009",0,0,0
