CNTYVTD,PaxtonR_18G_State Sen 8,PharissD_18G_State Sen 8
"0850001",791,695
"0850002",1035,1061
"0850003",167,680
"0850005",400,214
"0850006",1622,1618
"0850007",437,396
"0850012",774,434
"0850014",666,880
"0850015",420,442
"0850019",612,444
"0850021",1324,1298
"0850023",320,857
"0850024",380,776
"0850025",1661,1628
"0850026",467,481
"0850028",756,794
"0850030",1775,1257
"0850031",848,610
"0850032",869,740
"0850034",1092,1472
"0850036",797,497
"0850038",1842,2001
"0850039",685,925
"0850040",1343,794
"0850041",1611,637
"0850043",1496,1492
"0850044",316,354
"0850045",992,617
"0850046",567,876
"0850047",764,788
"0850048",1052,1061
"0850049",885,614
"0850050",448,1021
"0850051",274,531
"0850052",640,1376
"0850053",827,662
"0850054",660,1003
"0850055",806,1257
"0850057",1344,1107
"0850058",952,1035
"0850059",1332,946
"0850060",1027,432
"0850061",643,476
"0850062",711,792
"0850063",817,566
"0850064",755,811
"0850065",378,349
"0850066",628,611
"0850067",784,749
"0850068",558,551
"0850069",1263,1175
"0850070",727,515
"0850071",596,572
"0850072",525,418
"0850073",370,602
"0850074",576,544
"0850075",771,488
"0850076",1148,989
"0850077",888,1145
"0850078",832,896
"0850079",727,675
"0850080",1061,991
"0850081",755,948
"0850082",745,700
"0850084",763,694
"0850085",804,987
"0850086",950,835
"0850087",1754,2010
"0850088",271,778
"0850089",1461,1584
"0850090",1279,771
"0850091",705,688
"0850092",830,871
"0850094",1161,1366
"0850095",886,924
"0850096",267,314
"0850097",671,273
"0850098",431,263
"0850099",73,68
"0850101",1097,970
"0850102",1148,554
"0850103",265,391
"0850104",331,821
"0850105",396,308
"0850106",592,539
"0850107",1034,1068
"0850108",809,936
"0850109",1253,959
"0850110",902,796
"0850111",1686,1074
"0850112",967,874
"0850113",924,861
"0850115",884,1003
"0850116",1620,1332
"0850117",1172,1121
"0850118",1564,959
"0850119",1794,1594
"0850120",1275,912
"0850121",600,1064
"0850122",2014,1001
"0850123",718,545
"0850124",835,896
"0850125",1293,1622
"0850126",1387,1193
"0850127",1072,1017
"0850128",2293,822
"0850129",1241,1006
"0850130",1058,1144
"0850131",2158,1298
"0850132",770,919
"0850134A",1338,1474
"0850134B",4,4
"0850134C",0,0
"0850135",1079,1239
"0850136",691,573
"0850137",715,515
"0850138",554,340
"0850139",1045,1370
"0850140",1848,931
"0850141",1020,1001
"0850142",900,932
"0850143",739,494
"0850144",918,732
"0850145",419,518
"0850146",1292,1275
"0850147",502,498
"0850148",0,2
"0850149",1369,1029
"0850151",425,517
"0850152",11,36
"0850153",1559,1220
"0850155",878,618
"0850156",1135,887
"0850157",1141,1139
"0850158",658,837
"0850159",1321,1417
"0850163",1094,1029
"0850164",461,324
"0850165",373,223
"0850166",1218,1084
"0850167",1225,1564
"0850168",774,368
"0850169",857,891
"0850171",1530,1323
"0850173",279,138
"0850175",610,369
"0850176",660,1006
"0850177",1294,1064
"0850179",2383,868
"0850196",596,405
"0850197",295,419
"0850203",1254,659
"0850204",153,79
"0850205",14,3
"0850206",605,325
"0850209",253,208
"0850210",426,546
"0850211",1764,1583
"0850212",957,1072
"0850213",940,892
"0850218",1058,959
"0850219",884,658
"0850220",815,953
"0850221",1748,942
"0850222",849,914
"0850223",679,477
"0850225",944,1100
"0850226",1219,1158
"1131003",169,1554
"1131026",101,261
"1131027",510,1316
"1131028",265,545
"1131029",154,600
"1131030",392,760
"1131036",110,342
"1131037",168,430
"1131127",52,216
"1131500",439,856
"1131501",598,822
"1131502",707,1369
"1131503",349,976
"1131504",599,740
"1132500",672,1018
"1132501",560,432
"1132502",861,495
"1132503",1141,798
"1132504",455,419
"1132505",748,1033
"1132506",799,729
"1132507",806,701
"1132508",627,1117
"1132509",1051,923
"1132510",477,598
"1132511",617,655
"1132512",480,473
"1132513",694,977
"1132514",792,881
"1132940",670,301
"1132941",1627,1118
"1132942",1741,1110
