CNTYVTD,HancockR_18G_State Sen 9,BurudD_18G_State Sen 9
"1134059",29,157
"1134501",524,704
"1134502",678,1246
"1134503",624,1564
"1134504",280,436
"1134505",435,586
"1134506",278,391
"1134507",46,416
"1134508",92,178
"1134509",405,343
"1134510",301,601
"1134511",314,465
"1134512",307,292
"1134513",337,703
"1134514",342,323
"1134515",226,596
"1134516",3,9
"1134517",1070,788
"1134518A",356,549
"1134518B",0,0
"1134519",770,1136
"1134520",114,301
"1134521",1023,1240
"1134525",219,442
"1134527",191,467
"1134529",168,257
"1134530",13,87
"1134531",162,128
"1134532",60,82
"1134533",168,352
"1134534",8,33
"1134535",102,251
"1134536",9,16
"1134538",118,280
"1134540",0,0
"1134600",612,613
"1134601",1034,962
"1134602",472,562
"1134604",653,780
"1134605",572,654
"1134606",627,802
"1134607",269,517
"1134608A",593,1048
"1134608B",0,0
"1134609",201,631
"1134610",637,602
"1134611",367,465
"1134612",99,84
"1134613A",73,242
"1134613B",0,0
"1134614",210,96
"1134615",37,76
"1134616",204,336
"1134618",107,147
"1134619",438,330
"1134620",428,461
"1134649",8,37
"1134650",0,0
"1134651",6,15
"1134652",119,257
"1134653",8,15
"1134654",208,312
"1134655",33,6
"1134656",14,39
"1134657",6,32
"1134658",16,23
"1134659",39,91
"1134660",9,16
"1134661",106,288
"4391064",0,0
"4391151",264,384
"4391197",1240,1300
"4391198",63,122
"4391199",169,110
"4391227",621,1640
"4391236",148,217
"4391277A",437,432
"4391277B",0,0
"4391382",270,875
"4391388",463,948
"4391404",7,11
"4391430",1,3
"4391437",249,227
"4391441",69,319
"4391460",254,938
"4391463",187,579
"4391564",0,0
"4391603",318,884
"4391622",15,14
"4391623",0,0
"4391625",0,0
"4391701",287,340
"4392002",0,3
"4392027",217,365
"4392100",143,139
"4392134",140,207
"4392143",186,211
"4392145",244,564
"4392147",419,338
"4392148",275,713
"4392158",807,643
"4392161",293,600
"4392168",547,689
"4392169",140,380
"4392180",163,585
"4392190",80,95
"4392210",123,217
"4392224",336,674
"4392225",125,507
"4392226",311,607
"4392235",499,801
"4392263",330,560
"4392269",106,126
"4392274",2,0
"4392309",249,409
"4392315",305,627
"4392316",455,533
"4392381",63,200
"4392393",74,133
"4392401",96,69
"4392402",6,2
"4392403",2,7
"4392411",40,142
"4392413",82,285
"4392428",71,173
"4392442",593,635
"4392461",209,760
"4392467",437,795
"4392484",609,1361
"4392513",0,0
"4392536",513,588
"4392537",181,494
"4392546",6,29
"4392561",0,0
"4392569",3,22
"4392571",0,0
"4392616",8,26
"4392655",175,361
"4392656",6,35
"4392657",4,9
"4392658",57,169
"4392659",3,4
"4392660",79,53
"4392673",0,0
"4392675",0,0
"4392680",0,0
"4392681",0,0
"4393032",541,294
"4393036",520,570
"4393037",1179,608
"4393039",1853,837
"4393040",1256,575
"4393041",659,502
"4393049",1485,534
"4393054",1420,759
"4393063",1723,778
"4393072",1281,443
"4393131",670,317
"4393139",410,298
"4393140",726,348
"4393156",813,293
"4393157",645,582
"4393160",584,556
"4393164",649,389
"4393166",599,630
"4393172",836,612
"4393176",1175,763
"4393177",1174,427
"4393187",551,342
"4393194",685,410
"4393196",1003,461
"4393200",872,585
"4393209",2045,640
"4393213",608,390
"4393214",952,613
"4393215",1045,440
"4393216",1088,980
"4393240",898,531
"4393247",421,486
"4393254",699,569
"4393260",692,307
"4393282",657,364
"4393286",457,120
"4393287",890,528
"4393289",940,506
"4393324",867,453
"4393325",424,206
"4393326",285,176
"4393327",672,391
"4393329",616,770
"4393332",856,689
"4393333",1814,1023
"4393335",933,495
"4393336",753,989
"4393364",279,232
"4393365",2055,720
"4393367",738,392
"4393368",392,159
"4393372",1232,697
"4393385",1415,650
"4393386",2123,810
"4393387",1037,389
"4393389",1047,1163
"4393391",667,822
"4393392",1129,399
"4393398",572,314
"4393406",0,0
"4393422",2211,697
"4393433",307,116
"4393446",0,0
"4393465",1106,783
"4393469",495,327
"4393470",63,23
"4393471",924,312
"4393486",1839,1031
"4393500",214,57
"4393502",858,216
"4393507",834,535
"4393509",727,451
"4393511",679,821
"4393527",1016,485
"4393529",1120,493
"4393530",1169,644
"4393539",7,1
"4393545",1236,479
"4393552A",831,671
"4393552B",233,189
"4393554",1466,552
"4393560",0,0
"4393562",82,20
"4393570",970,635
"4393575",0,0
"4393579",457,142
"4393583",0,0
"4393584",0,0
"4393585",0,0
"4393590",0,0
"4393626",365,125
"4393637",623,551
"4393647",1094,772
"4393648",1290,767
"4393653",1,0
"4393654",0,0
"4393661",0,0
"4393664",0,0
"4393665",11,0
"4393667",53,21
"4393668",195,58
"4393669",2,1
"4393671",308,128
"4393695",1442,827
"4393696",1299,791
"4393698",1319,937
"4394042",303,230
"4394102",238,250
"4394141",777,583
"4394159",440,316
"4394162",105,138
"4394191",433,226
"4394218",312,274
"4394234",1268,700
"4394239",50,23
"4394245",4,51
"4394250",869,682
"4394261",768,759
"4394290",701,530
"4394328",372,301
"4394362",2,1
"4394374",683,553
"4394399",94,38
"4394410",715,693
"4394452",1249,1138
"4394483",10,13
"4394485",88,84
"4394499",930,907
"4394508",1139,888
"4394528",1208,841
"4394533",462,296
"4394540",865,712
"4394588",1369,944
"4394591",845,697
"4394596",15,41
"4394599",1575,1268
"4394602",0,0
"4394604",1,1
"4394620",7,17
"4394629",0,0
"4394632",0,0
"4394682",55,112
