CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0010001",672,236
"0010002",1062,156
"0010003",566,96
"0010004",737,101
"0010005",178,11
"0010006",259,379
"0010007",87,443
"0010008",45,102
"0010009",556,134
"0010010",232,26
"0010011",486,141
"0010013",608,249
"0010015",480,58
"0010016",351,89
"0010017",340,97
"0010018",912,190
"0010019",787,237
"0010020",409,134
"0010021",853,126
"0010022",534,94
"0010023",695,80
"0010024",449,37
"0030001",712,195
"0030002",1277,188
"0030003",788,186
"0030004",546,177
"0050001",134,84
"0050002",249,745
"0050003",751,173
"0050004",354,262
"0050005",514,383
"0050006",201,37
"0050007",643,75
"0050008A",399,48
"0050008B",260,32
"0050009",153,38
"0050010A",223,200
"0050010B",27,24
"0050011",1092,102
"0050012",383,86
"0050013",194,136
"0050014",766,296
"0050015",296,58
"0050016",444,453
"0050017",820,112
"0050018",224,109
"0050019",651,270
"0050020",142,911
"0050021",513,153
"0050022",525,84
"0050023",301,47
"0050024",972,259
"0050025",974,197
"0050026",879,109
"0050027",198,24
"0050028",544,118
"0050029",690,125
"0050030",507,46
"0050031",148,53
"0050032",53,6
"0050033",674,55
"0050034",947,297
"0050035",836,219
"0050036",0,0
"0050037",221,45
"0050038",170,35
"0050039",183,85
"0050040",278,163
"005011B",462,95
"005017B",176,14
"0070001",932,228
"0070002",1018,493
"0070003",1930,586
"0070004",1749,514
"007001A",555,151
"007004A",559,136
"0090001",610,64
"0090002",527,57
"0090003",186,29
"0090004",371,14
"0090005",83,6
"0090006",527,72
"0090007",118,12
"0090008",181,31
"0090009",95,10
"0090010",429,67
"0090011",65,8
"0110101",214,14
"0110201",110,18
"0110202",42,7
"0110301",163,9
"0110303",22,9
"0110401",120,8
"0110402",98,8
"0110404",19,0
"0130001",283,89
"0130002",285,211
"0130003",400,225
"0130004",48,16
"0130005",360,342
"0130006",51,1
"0130007",409,242
"0130008",165,92
"0130009",68,13
"0130010",353,218
"0130011",33,10
"0130012",362,230
"0130013",728,360
"0130014",137,52
"0130015",444,361
"0130016",79,50
"0130017",290,522
"0130018",417,259
"0130019",142,57
"0130020",1508,424
"0130021",123,20
"0130022",317,80
"0130023",152,129
"0130024",529,298
"0150101",585,124
"0150102",625,158
"0150103",798,115
"0150104",392,78
"0150205",909,204
"0150206",299,51
"0150207",210,27
"0150208",367,62
"0150209",319,73
"0150210",384,60
"0150211",193,32
"0150312",353,29
"0150313",232,248
"0150314",1090,306
"0150415",520,195
"0150416",515,145
"0150417",232,102
"0150418",696,120
"0170001",366,111
"0170002",522,79
"0170003",189,86
"0170004A",88,97
"0170004B",5,5
"0190101",828,188
"0190102",1291,295
"0190203",962,301
"0190204",720,222
"0190305",1159,236
"0190306",796,126
"0190407",1173,242
"0190408",132,56
"0190409",329,102
"0190410",294,53
"0211001",1172,774
"0211002",660,712
"0211003",2110,1478
"0211004",600,584
"0212005",864,684
"0212006",563,306
"0212007",957,334
"0212008",408,195
"0212009",431,303
"0212010",548,251
"0212011",899,590
"0213012",406,143
"0213013",603,294
"0213014",613,605
"0213015",479,747
"0213016",821,669
"0214017",616,841
"0214018",270,141
"0214019",812,641
"0214020",923,1062
"0214021",492,271
"0230001",300,41
"0230002",230,36
"0230003",214,40
"0230004",292,40
"0250001",567,402
"0250002",158,10
"0250003",407,293
"0250004",138,36
"0250005",119,49
"0250006",384,206
"0250008",92,28
"0250009",92,229
"0250010",179,327
"0250011",89,47
"0250012",120,49
"0250013",415,232
"0250014",80,52
"0250016",302,193
"0250017",250,243
"0250018",691,249
"0250019",69,158
"0270101",2778,964
"0270102",1300,464
"0270103",1699,781
"0270104",3257,1018
"0270105",721,132
"0270106",710,1374
"0270107",190,84
"0270108",765,149
"0270109",393,576
"0270110",193,164
"0270111",1706,998
"0270113",129,36
"0270201",778,723
"0270202",1850,1193
"0270203",3614,837
"0270204",422,545
"0270205",668,1279
"0270206",322,554
"0270207",449,936
"0270208",1004,1988
"0270209",1761,1954
"0270210",1119,1661
"0270301",1627,314
"0270302",1275,804
"0270303",1267,1034
"0270304",326,105
"0270305",1096,490
"0270306",362,525
"0270307",296,752
"0270308",444,476
"0270309",408,57
"0270310",267,38
"0270311",1378,273
"0270312",826,161
"0270313",1202,452
"0270314",735,557
"0270315",2279,1176
"0270317",2841,1290
"0270401",522,161
"0270402",1001,454
"0270404A",642,1249
"0270404B",0,0
"0270405",537,1451
"0270406",497,555
"0270408",898,1622
"0270409",452,464
"0270410",263,455
"0270412",521,1589
"0270413",856,1880
"0291001",76,327
"0291002",122,229
"0291003",137,840
"0291004",43,296
"0291005",46,239
"0291006",155,704
"0291007",120,474
"0291008",148,855
"0291009",302,477
"0291010",56,251
"0291011",45,139
"0291012",247,579
"0291013",124,807
"0291014",65,384
"0291015",82,381
"0291016",63,355
"0291017",28,53
"0291018",170,661
"0291019",57,244
"0291020",208,750
