CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0010001",670,235
"0010002",1062,156
"0010003",563,98
"0010004",742,93
"0010005",178,12
"0010006",267,371
"0010007",87,442
"0010008",46,101
"0010009",559,128
"0010010",235,22
"0010011",492,137
"0010013",607,246
"0010015",482,54
"0010016",352,87
"0010017",339,98
"0010018",912,187
"0010019",791,231
"0010020",407,136
"0010021",851,128
"0010022",534,95
"0010023",692,80
"0010024",449,36
"0030001",718,187
"0030002",1277,183
"0030003",788,181
"0030004",547,169
"0050001",131,88
"0050002",257,736
"0050003",748,169
"0050004",357,256
"0050005",517,381
"0050006",204,32
"0050007",641,76
"0050008A",403,45
"0050008B",262,29
"0050009",152,37
"0050010A",224,199
"0050010B",27,24
"0050011",1096,94
"0050012",385,82
"0050013",195,135
"0050014",767,292
"0050015",300,54
"0050016",443,454
"0050017",827,108
"0050018",226,107
"0050019",653,267
"0050020",143,902
"0050021",515,149
"0050022",523,85
"0050023",301,47
"0050024",982,246
"0050025",977,195
"0050026",878,107
"0050027",199,22
"0050028",546,114
"0050029",694,120
"0050030",508,45
"0050031",147,53
"0050032",53,6
"0050033",680,49
"0050034",947,294
"0050035",831,220
"0050036",0,0
"0050037",223,44
"0050038",170,35
"0050039",187,80
"0050040",276,163
"005011B",461,96
"005017B",175,14
"0070001",936,224
"0070002",1020,493
"0070003",1930,583
"0070004",1755,501
"007001A",558,147
"007004A",556,142
"0090001",610,58
"0090002",525,58
"0090003",188,26
"0090004",367,14
"0090005",83,6
"0090006",524,70
"0090007",119,11
"0090008",179,30
"0090009",94,10
"0090010",435,59
"0090011",65,7
"0110101",216,12
"0110201",108,19
"0110202",40,8
"0110301",163,7
"0110303",24,8
"0110401",122,6
"0110402",98,9
"0110404",19,0
"0130001",283,89
"0130002",290,207
"0130003",406,220
"0130004",48,17
"0130005",371,330
"0130006",49,3
"0130007",406,239
"0130008",166,91
"0130009",70,11
"0130010",351,216
"0130011",32,11
"0130012",370,221
"0130013",731,353
"0130014",138,49
"0130015",452,351
"0130016",79,49
"0130017",311,498
"0130018",424,249
"0130019",142,56
"0130020",1507,417
"0130021",125,19
"0130022",313,82
"0130023",162,121
"0130024",535,291
"0150101",588,121
"0150102",621,160
"0150103",800,112
"0150104",394,75
"0150205",915,193
"0150206",298,53
"0150207",211,26
"0150208",366,65
"0150209",317,73
"0150210",380,61
"0150211",194,31
"0150312",353,28
"0150313",230,250
"0150314",1093,299
"0150415",516,196
"0150416",517,142
"0150417",235,99
"0150418",700,114
"0170001",370,105
"0170002",523,75
"0170003",194,82
"0170004A",92,93
"0170004B",5,4
"0190101",837,178
"0190102",1299,287
"0190203",959,301
"0190204",720,220
"0190305",1174,226
"0190306",800,123
"0190407",1174,239
"0190408",137,52
"0190409",327,99
"0190410",292,53
"0211001",1176,760
"0211002",674,683
"0211003",2125,1444
"0211004",613,565
"0212005",876,659
"0212006",562,302
"0212007",969,322
"0212008",413,191
"0212009",435,290
"0212010",548,246
"0212011",918,566
"0213012",412,130
"0213013",607,291
"0213014",620,595
"0213015",497,725
"0213016",835,653
"0214017",625,823
"0214018",270,139
"0214019",811,630
"0214020",941,1039
"0214021",498,262
"0230001",300,40
"0230002",230,34
"0230003",212,41
"0230004",289,38
"0250001",580,386
"0250002",156,12
"0250003",423,278
"0250004",141,34
"0250005",121,48
"0250006",383,205
"0250008",93,28
"0250009",95,227
"0250010",194,311
"0250011",91,44
"0250012",117,51
"0250013",424,223
"0250014",81,52
"0250016",300,192
"0250017",257,235
"0250018",694,244
"0250019",72,151
"0270101",2792,941
"0270102",1299,462
"0270103",1720,760
"0270104",3250,1015
"0270105",726,127
"0270106",712,1367
"0270107",191,83
"0270108",772,139
"0270109",394,573
"0270110",192,166
