CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0010001",669,239
"0010002",1064,155
"0010003",564,91
"0010004",737,94
"0010005",177,12
"0010006",265,376
"0010007",91,436
"0010008",45,102
"0010009",550,140
"0010010",236,22
"0010011",493,138
"0010013",614,245
"0010015",478,55
"0010016",349,90
"0010017",336,97
"0010018",915,182
"0010019",802,223
"0010020",403,138
"0010021",851,124
"0010022",531,94
"0010023",698,74
"0010024",449,34
"0030001",712,193
"0030002",1276,182
"0030003",788,182
"0030004",529,181
"0050001",133,86
"0050002",257,738
"0050003",751,168
"0050004",354,261
"0050005",515,384
"0050006",206,32
"0050007",642,74
"0050008A",404,45
"0050008B",262,28
"0050009",153,38
"0050010A",226,198
"0050010B",28,24
"0050011",1091,101
"0050012",384,84
"0050013",191,138
"0050014",763,298
"0050015",297,57
"0050016",443,454
"0050017",823,111
"0050018",227,106
"0050019",655,265
"0050020",143,906
"0050021",517,148
"0050022",525,85
"0050023",304,43
"0050024",979,251
"0050025",980,191
"0050026",877,110
"0050027",199,23
"0050028",542,119
"0050029",687,126
"0050030",506,46
"0050031",147,53
"0050032",53,6
"0050033",676,53
"0050034",940,302
"0050035",832,220
"0050036",0,0
"0050037",225,43
"0050038",170,35
"0050039",184,81
"0050040",280,160
"005011B",459,97
"005017B",177,13
"0070001",933,228
"0070002",1023,492
"0070003",1920,594
"0070004",1739,518
"007001A",556,150
"007004A",565,134
"0090001",609,58
"0090002",527,57
"0090003",185,29
"0090004",367,14
"0090005",83,6
"0090006",523,70
"0090007",120,10
"0090008",179,31
"0090009",94,10
"0090010",431,64
"0090011",64,8
"0110101",215,13
"0110201",107,20
"0110202",40,8
"0110301",162,8
"0110303",24,9
"0110401",120,8
"0110402",100,6
"0110404",19,0
"0130001",281,93
"0130002",287,209
"0130003",400,224
"0130004",46,17
"0130005",366,334
"0130006",50,2
"0130007",404,239
"0130008",168,88
"0130009",67,14
"0130010",351,214
"0130011",34,9
"0130012",371,221
"0130013",724,362
"0130014",135,54
"0130015",439,365
"0130016",81,48
"0130017",303,504
"0130018",416,250
"0130019",141,57
"0130020",1504,418
"0130021",124,18
"0130022",318,78
"0130023",155,125
"0130024",539,287
"0150101",586,122
"0150102",620,160
"0150103",800,109
"0150104",398,71
"0150205",919,188
"0150206",301,51
"0150207",213,24
"0150208",363,67
"0150209",316,74
"0150210",378,61
"0150211",198,27
"0150312",352,30
"0150313",228,252
"0150314",1091,301
"0150415",529,185
"0150416",515,145
"0150417",234,98
"0150418",700,116
"0170001",367,77
"0170002",528,71
"0170003",193,81
"0170004A",91,95
"0170004B",5,5
"0190101",827,187
"0190102",1296,290
"0190203",959,305
"0190204",722,219
"0190305",1172,226
"0190306",797,127
"0190407",1178,237
"0190408",137,51
"0190409",324,103
"0190410",294,50
"0211001",1168,770
"0211002",670,689
"0211003",2108,1462
"0211004",606,573
"0212005",877,667
"0212006",569,301
"0212007",962,323
"0212008",412,189
"0212009",429,300
"0212010",553,244
"0212011",890,588
"0213012",399,145
"0213013",603,295
"0213014",622,596
"0213015",479,745
"0213016",824,657
"0214017",621,823
"0214018",271,139
"0214019",811,629
"0214020",930,1051
"0214021",494,263
"0230001",299,41
"0230002",229,34
"0230003",215,37
"0230004",293,37
"0250001",571,395
"0250002",156,12
"0250003",418,282
"0250004",139,35
"0250005",121,48
"0250006",376,211
"0250008",92,29
"0250009",90,234
"0250010",187,317
"0250011",94,43
"0250012",116,52
"0250013",421,226
"0250014",82,52
"0250016",305,192
"0250017",248,247
"0250018",691,251
"0250019",64,161
"0270101",2782,946
"0270102",1296,463
"0270103",1710,762
"0270104",3241,1002
"0270105",721,128
"0270106",696,1377
"0270107",188,86
"0270108",768,145
"0270109",387,580
"0270110",187,170
"0270111",1696,1004
